word,content
racing,"Contents 1 Off-road vehicle 2 Recreational off-roading 2.1 Dune bashing 2.2 Off-road racing 2.2.1 Desert racing 2.2.2 Rock racing 2.3 Cross-country 2.4 Raid 2.5 Green laning 2.6 Mudding and mud plugging 2.7 Rock crawling 2.8 Competitive trials 2.8.1 RTV trialing 2.8.2 CCV trialing 2.8.3 Punch & winch challenge 2.8.4 Other forms 2.9 Winch events 3 Off-roading events 4 Off-roading organizations 5 Vehicle modification 5.1 Vehicle lifts 5.1.1 Body lift 5.1.2 Suspension lift 5.1.3 Block lift (Budget lift) 5.1.4 Shackle lift 5.1.5 Large tires 5.1.6 Axle (clearance) lift 5.2 Traction 5.3 Differentials 5.4 Tires 5.4.1 Sway Bar Removal 5.5 Dangers of vehicle lifting 5.6 Vehicle protection 6 Criticism of ORV use 6.1 Environmental impact 6.2 Mojave desert controversy 6.3 Roadless area conservation 6.4 Public statements 7 See also 8 Further reading 9 References 10 External links Off-road vehicle[edit] One example of an off-road SUV, in this case a Jeep Grand Cherokee, in action Main article: Off-road vehicle Travelling efficiently on off-road terrain requires vehicles that are capable of accommodating off-road driving such as ATVs."
sport,"A large sport utility vehicle such as the Toyota Land Cruiser is used (however, light weight vehicles often fare better in the extremely soft sand found on sand dunes)[citation needed]."
racing,Off-road racing[edit] Main article: Off-road racing Desert racing[edit] High-speed racing in the open desert includes chases and racing on a rough desert terrain with numerous pots and bumps at the maximum speed.
racing,"[1] Rock racing[edit] Rock Racing is very similar to rock crawling in the fact that the vehicles are driven over rocks, the difference is that there are no penalties for hitting cones, backing up or winching as is done in rock crawling."
racing,Rock racing also involves a degree of high-speed racing not seen in typical rock crawling.
road,"As the name suggests, it is for vehicles that are road-legal (and thus required to pay road tax)."
standard,"Vehicles on RTV trials are usually best described as ""modified from standard""—they use the standard chassis, drive-train and body that the vehicle was built with."
standard,The gates are just wide enough to get a standard vehicle through.
standard,"Since the terrain covered in RTV trials should be well within the capabilities of any reasonably capable vehicle (even in standard form), these trials place the emphasis on driver skill and ground-reading abilities."
standard,"A good driver in a standard specification vehicle can easily win over a modified, highly equipped vehicle driven by a less competent driver."
engine,"For many years, in the UK, the ultimate CCV vehicle could be built by taking the chassis of a Range Rover, removing the body, cutting the chassis down to an 80-inch wheelbase and mating it to the body of a Series I Land Rover, retaining the Range Rover's V8 engine and coil-spring suspension in a light, easy to maneuvre body."
standard,CCV triallers now usually base their vehicles around Land Rover 90s or a standard 100-inch chassis from a Range Rover or Series I Discovery.
sport,"""Tyro"" trialing is intended as an introduction to the sport for newcomers or children and is the most basic level of trialing."
road,[citation needed] off road parks and motocross tracks also host a number of events and may be the only legal place to off-road in the area.
racing,"Events include jamborees, rock crawling competitions, Mud Bog races, Top Truck Challenges and sand racing as well as many other events, such as the Tank Trap."
road,It is popular Ultra4 off road racing series with races such as King of the Hammers.
racing,Those Ultra4 cars combine desert racing and rock crawling in one car.
road,"Traction[edit] Off-roading is always related to driving off the pavement, making it important to maintain proper traction in all road conditions such as mud, dirt, rocks, sand, ice or snow."
road,Continuous track is often used in extreme road conditions when regular wheels can't provide enough traction for moving forward.
road,Large overall wheel diameter provides a better ride comfort and road clearance.
road,Each tire type has its own tread type to provide a proper grip in certain road conditions.
road,"In the United States, bumper and frame height laws are effective in most states to ensure that the vehicles on the road are not too much higher than their average car counterparts."
engine,"A typical solution would be to install skid plates (sometimes also called bash plates), which are thick metal plates protecting vulnerable parts (such as the transfer/gear box or engine oil sump)."
standard,Some manufacturers install skid plates as standard equipment on some of their vehicles.
engine,"This is because ""two-stroke engines emit about 20 to 33 percent of the consumed fuel through the exhaust"" (as the engine lubricant is a ""total loss system"" and is emitted by design) and ""discharge from two-stroke snowmobile engines can lead to indirect pollutant deposition into the top layer of snow and subsequently into the associated surface and ground water""."
road,"In 2009, U.S. District Judge Susan Illston ruled against the BLM's proposed designation of additional off road use on designated open routes on public land."
road,[29] These campaigns in part have prompted congressional hearings about the growing impact of unmanaged off road vehicle use.
road,Off Road Vehicle Damage Negative environmental effects caused by a motorcycle to a portion of the Los Padres National Forest.
road,See also[edit] Amphibious vehicle Baja Bug Game viewer vehicle Mud bogging Ramp travel index Off road park Suspension (vehicle) Breakover angle Further reading[edit] Environmental Hazards of Dune Bashing Sand Duning and Off-Roading in the Desert References[edit] Wikimedia Commons has media related to Off-roading.
road,Off Road Xtreme.
racing,^ Ultra4 racing Europe.
racing,"Man-made erosion, The National Trust (UK) vteOff-roading topicsTypes of off-roading Off-road racing Green laning Beach racing BMX Desert racing Dirt track racing Dune bashing Enduro Formula Off Road Mud bogging Motocross Side car cross Observed trials Rallycross Rally raid Rock crawling Short course off road racing Off-road vehicles All-terrain vehicle Buggy Baja Bug Dune buggy Crosskart Dirtbike Dual-sport motorcycle Enduro motorcycle Trials motorcycle Four-wheel drive Monster truck Off road go-kart Rally support truck Group T4 Rock crawler Sandrail Side-by-side Trophy truck Truggy Off-road related Off-road park Xtreme 4x4 Trucks!"
honda,"Honda Powersports - Motorcycles, ATVs, Scooters, SxS Honda Homepage CHECK OUT THE NEW GROM NEW ENGINE, FIVE-SPEEDS, AND EASIER THAN EVER TO CUSTOMIZE SEE IT NOW MORE VERSATILE THAN EVER THE NEW 2021 NC750X IS YOUR DO-IT-ALL BIKE SEE IT NOW DEALER-TO-DOOR SERVICE AVAILABLE NOW CONTACT YOUR LOCAL DEALER AND LEARN HOW TO GET YOUR NEW RIDE DELIVERED STRAIGHT TO YOUR DOORSTEP FIND A DEALER DON’T JUST LOOK AT OUR PRODUCTS."
